Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Patinete (ms),Duração de Outra (ms)
2015-05-02,,,749.0,,,,,,,,,,5.82436258240737,26.504716873168945,0.5,5632,,,,,72458078,2587135,,,
2015-05-03,,,10.0,,,,,,,,,,1.125,1.75,0.5,2814,,,,,80600767,1385449,,,
2015-05-04,,,,,,,,,,,,,1.109151128532492,1.4142135381698608,0.55901700258255,394,,,,,79177736,61011,,,
2015-05-05,,,2672.0,,,,,,,,,,1.006956528041128,2.2360680103302,0.5,9365,,,,,73299550,5623689,,,
2015-05-06,,,2538.7964552009234,,,,,,,,,,0.8886079089836459,1.520690679550171,0.5,9386,,,,,76332932,5027251,,,
2015-05-07,,,2818.2035447990766,,,,,,,,,,1.4802687756070858,2.3048861026763916,1.0,7799,,,,,80137972,4572380,,,
2015-05-08,,,583.0,,,,,,,,,,1.6573912462375195,3.1622776985168457,0.5,5157,,,,583360,81618074,2993747,,,
2015-05-09,,,57.0,,,,,,,,,,1.547673262267665,6.0,0.5,13446,,,,,66718844,5969204,,,
2015-05-10,,,,,,,,,,,,,4.39813428992102,10.0,0.5,1101,,,,,83291962,140127,,,
2015-05-11,,62.85039655992814,757.0,,,,,,,,,,1.2244557757055146,2.3584952354431152,0.5,7279,,,,,75152122,3642311,,,
2015-05-12,,1510.7731833376004,2324.529458332807,,,,,,,,,,1.7854698232871509,9.75,0.5,7245,,,,,73280839,3417797,156227,,
2015-05-13,,1510.2591807149308,2889.178265273571,,,,,,,,,,1.9123867915390267,12.75,0.5,5308,,,,,78956117,3202873,,,
2015-05-14,,1518.2929215215402,3626.567460179329,,,,,,,,,,1.7125414350335402,2.7950849533081055,0.75,6649,,,,,82005350,3375366,,,
2015-05-15,,1554.0729542999093,4214.820155888796,,,,,,,,,,0.8828207948330732,9.25,0.5,7912,,,,,79505629,4166630,,,
2015-05-16,,1523.8108320746735,3187.508217215538,,,,,,,,,,1.9998469498618077,2.75,0.5,6307,,,,,80886368,3503603,,,
2015-05-17,,1394.700332336534,354.67718988657,,,,,,,,,,0.9610532501793965,2.25,0.5,1663,,,,,83022579,594504,,,
2015-05-18,,1372.6774501144632,15.68034029006958,,,,,,,,,,1.8512626190823316,4.25,0.5,763,,,,,83548459,86176,,,
2015-05-19,,1569.9587403891226,4846.483985066414,,,,,,,,,,1.2836625530222667,7.516648292541504,0.75,8407,,,,,77240896,4555461,,,
2015-05-20,,1622.2030168847077,5228.124428421259,,,,,,,,,,4.4458156129394215,13.75,0.75,12596,,,,,69297935,5693525,,,
2015-05-21,,1530.249247986477,3832.322625219822,,,,,,,,,,2.5244290156874376,8.25,0.5,6609,,,,,72748800,3653240,,,
2015-05-22,,1978.4669271159323,8103.340008676052,,,,,,-23.419109344482422,-51.948272705078125,-23.40281867980957,-51.934669494628906,3.0557452120153306,10.75,0.5,8789,,,,3685025,70260374,7444037,,,
2015-05-23,,1445.2241171773708,721.2168990969658,,,,,,,,,,3.13676161968233,18.5,0.5,4931,,,,,68978189,1630974,,,
2015-05-24,,1394.2505977549204,117.53604018688202,,,,,,,,,,3.474706843654604,20.756023406982422,0.5,1596,,,,,64695595,471593,,,
2015-05-25,,1405.5757661791783,690.0088627934456,,,,,,,,,,0.7071067690849304,0.7071067690849304,0.7071067690849304,2463,,,,,75544847,827676,,,
2015-05-26,,1520.9101161474923,2315.526881635189,,,,,,,,,,1.4556997376999476,3.75,0.5,5178,57.0,57.0,57.0,,80070644,2589454,61212,,
2015-05-27,,1539.0497222462534,2280.862119741738,,,,,,,,,,0.8327326948719272,9.75,0.5,4569,,,,,79625740,2481813,60803,,
2015-05-28,,1465.005952168013,691.2375102639198,,,,,,,,,,0.5,0.5,0.5,2049,,,,,83642977,764762,61092,,
2015-05-29,,1663.4812242689418,3785.7773429751396,,,,,,,,,,1.281044556293779,14.75,0.5,9558,,,,,76777147,4405436,420095,,
2015-05-30,,1465.6918224355923,299.837455868721,,,,,,,,,,4.995039615485974,12.25,1.0,1329,,,,,69127029,971345,,,
2015-05-31,,1659.8647833260472,2296.3193978071213,,,,,,,,,,0.5000420860663197,0.75,0.5,8999,,,,,67549683,5415287,,,
2015-06-01,,1521.7840635567454,2104.484325490892,,,,,,,,,,2.5743129076863607,8.75,0.5,3590,,,,,76337372,2255103,,,
2015-06-02,,1555.8646343350863,1698.418483197689,,,,,,,,,,2.1697172094990083,17.25,0.5,4937,,,,,66976763,3035087,,,
2015-06-03,,1452.9959306057058,336.0495567917824,,,,,,,,,,1.6047473505731118,18.256847381591797,0.5,1194,,,,,58740603,680782,,,
2015-06-04,,1554.9630391777548,2505.939721982926,,,,,,,,,,2.3955872868668275,14.75,0.5,4688,,,,,65564536,3014453,,,
2015-06-05,,1428.3765382501592,82.13134700059891,,,,,,,,,,2.5244293826432305,2.5495097637176514,0.9013878107070923,817,,,,,83318566,109162,,,
2015-06-06,,1548.7575562316783,1802.6383447051048,,,,,,,,,,,,,3685,,,,,48154706,2872431,,,
2015-06-07,,1516.2886200902976,1326.706459350884,,,,,,,,,,0.9351232178629876,5.771697998046875,0.5,3918,,,,,64840381,2129330,,,
2015-06-08,,1522.3981482625418,1640.8085950314999,,,,,,,,,,1.116021165454517,9.5,0.5,3692,,,,,76833331,2268703,,,
2015-06-09,,1542.6770094770511,2234.68737077713,,,,,,,,,,5.32601967934264,19.75,0.5,5344,,,,,63648811,2459444,91668,,
2015-06-10,,1630.8175329592432,3657.167781472206,,,,,,,,,,1.1605544271668318,19.75,0.75,7880,,,,,77148928,4750498,,,
2015-06-11,,1653.0421531187985,5046.274168550968,,,,,,,,,,1.7829475787345468,14.758472442626953,0.5,8812,,,,,77291300,4410749,362442,,
2015-06-12,,1635.1935070364834,4934.3819699287415,,,,,,,,,,1.1115385252582415,11.25,0.5,8682,,,,,74398145,4850648,,,
