Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Corrida (ms)
15:30:00.000-03:00,15:45:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,,19.459114636253585,0.3442280945757997,,,,,,,,,,,,,1,,,,62402,
