nr_votavel,nm_votavel,nome_do_local,latitude,longitude,votos_local,votos_candidato,prop_votos,grupo,geometry
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSOR MIDUFO VADA,-23.3881581,-51.937391,6,2090,0.0028708133971291866,Maringá,"c(-51.937391, -23.3881581)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSOR MILTON SANTOS,-23.3866725,-51.9263906,11,2090,0.005263157894736842,Maringá,"c(-51.9263906, -23.3866725)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSORA LÍDIA RIBEIRO DUTRA DA SILVA,-23.3877627,-51.9606897,1,2090,4.784688995215311e-4,Maringá,"c(-51.9606897, -23.3877627)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSORA ODETE ALCANTARA ROSA,-23.3993452,-51.8950312,29,2090,0.013875598086124402,Maringá,"c(-51.8950312, -23.3993452)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSORA PIVENI PIASSI MORAES,-23.3850933,-51.945712,6,2090,0.0028708133971291866,Maringá,"c(-51.945712, -23.3850933)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFª AGMAR DOS SANTOS,-23.45542833,-51.94274167,6,2090,0.0028708133971291866,Maringá,"c(-51.94274167, -23.45542833)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFª BENEDITA NATALIA LIMA,-23.45858462,-51.92476759,5,2090,0.0023923444976076554,Maringá,"c(-51.92476759, -23.45858462)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFª MIRIAM LEILA PALANDRI - ENSINO FUNDAMENTAL,-23.440765,-51.922675,18,2090,0.00861244019138756,Maringá,"c(-51.922675, -23.440765)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL ROSA PALMA PLANAS,-23.4180299,-51.8997963,212,2090,0.10143540669856459,Maringá,"c(-51.8997963, -23.4180299)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL ZULEIDE SAMWAIF PORTES,-23.3999193,-51.9112796,8,2090,0.003827751196172249,Maringá,"c(-51.9112796, -23.3999193)"
10123,CRISTIAN MARCOS MAIA DA SILVA,HOSPITAL UNIVERSITÁRIO DE MARINGÁ,-23.40013,-51.95572,1,2090,4.784688995215311e-4,Maringá,"c(-51.95572, -23.40013)"
10123,CRISTIAN MARCOS MAIA DA SILVA,INSTITUTO DE EDUCAÇÃO ESTADUAL DE MARINGA,-23.4274617,-51.9394009,13,2090,0.006220095693779904,Maringá,"c(-51.9394009, -23.4274617)"
10123,CRISTIAN MARCOS MAIA DA SILVA,INSTITUTO SENAI DE TECNOLOGIA EM METALMECÂNICA (JD. LEBLON),-23.4566755,-51.9207604,2,2090,9.569377990430622e-4,Maringá,"c(-51.9207604, -23.4566755)"
10123,CRISTIAN MARCOS MAIA DA SILVA,SENAI - CENTRO DE EDUCAÇÃO PROFISSIONAL DE MARINGÁ (PARTICULAR),-23.4251819,-51.9561723,2,2090,9.569377990430622e-4,Maringá,"c(-51.9561723, -23.4251819)"
10123,CRISTIAN MARCOS MAIA DA SILVA,UEM - UNIVERSIDADE ESTADUAL DE MARINGA,-23.406036,-51.9376666,13,2090,0.006220095693779904,Maringá,"c(-51.9376666, -23.406036)"
10123,CRISTIAN MARCOS MAIA DA SILVA,UNICESUMAR,-23.4420715,-51.9174621,48,2090,0.022966507177033493,Maringá,"c(-51.9174621, -23.4420715)"
11222,GISELLI PATRICIA CAETANO DE LIMA BIANCHINI,4º COLÉGIO DA POLÍCIA MILITAR DO ESTADO DO PARANÁ,-23.430989,-51.9146521,11,2119,0.005191127890514393,Maringá,"c(-51.9146521, -23.430989)"
