wavelength_nm,river,depth,mean,sd,se,n,mean_l,mean_h,depth_cm,water_type,wavelength_label
354,parana,1000,0.8348933333333334,0.09033558564227796,0.052155274687971674,3,0.7827380586453617,0.887048608021305,11.488,clean,354 nm
354,parana,10000,0.04263,0.01681376519403075,0.009707431860864814,3,0.03292256813913519,0.052337431860864814,114.88,clean,354 nm
354,parana,2000,0.6524933333333334,0.11128882348795557,0.0642526321985679,3,0.5882407011347655,0.7167459655319013,22.976,clean,354 nm
354,parana,4000,0.33982666666666667,0.07234726693755152,0.041769714041529085,3,0.2980569526251376,0.38159638070819574,45.952,clean,354 nm
354,parana,500,0.9347266666666667,0.07889909779796811,0.0455524153524755,3,0.8891742513141913,0.9802790820191422,5.744,clean,354 nm
354,parana,6000,0.16271,0.0468896065242608,0.02707172694897761,3,0.13563827305102238,0.1897817269489776,68.928,clean,354 nm
354,parana,8000,0.0834,0.026653568241419387,0.015388444799047545,3,0.06801155520095245,0.09878844479904755,91.904,clean,354 nm
355,baia,1000,0.12384333333333333,0.027883407850069795,0.016098493028161923,3,0.10774484030517141,0.13994182636149527,11.488,black,355 nm
355,baia,1500,0.048183333333333335,0.013231059418403857,0.007638955716879401,3,0.040544377616453936,0.055822289050212734,17.232,black,355 nm
355,baia,2000,0.01775,0.009871210665364203,0.006979999999999999,2,0.010769999999999998,0.02473,22.976,black,355 nm
355,baia,250,0.5302166666666667,0.11999720093957746,0.06928041626446667,3,0.4609362504022,0.5994970829311334,2.872,black,355 nm
355,baia,2500,0.0057,0.003560674093482862,0.0020557561463688573,3,0.003644243853631143,0.007755756146368857,28.72,black,355 nm
355,baia,3000,0.002250816,0.0023040141084012485,0.0016291839999999999,2,6.216320000000002e-4,0.0038799999999999998,34.464,black,355 nm
355,baia,3500,4.5555819999999996e-4,7.431385654251299e-4,0.00042905125079339106,3,2.650694920660891e-5,8.846094507933911e-4,40.208,black,355 nm
355,baia,4000,-7.304800000000001e-5,2.0223678206003973e-4,1.43003e-4,2,-2.16051e-4,6.995499999999999e-5,45.952,black,355 nm
355,baia,4500,-4.45298e-4,6.415028493311623e-5,3.7037184274725854e-5,3,-4.8233518427472587e-4,-4.0826081572527414e-4,51.696,black,355 nm
355,baia,500,0.3341033333333333,0.041461622415594555,0.02393787886268214,3,0.3101654544706512,0.3580412121960154,5.744,black,355 nm
355,baia,5000,-5.06453e-4,NA,NA,1,NA,NA,57.44,black,355 nm
